soilloss,endinfil,duration,cumq,rough,bulk,corg,cSa,mSa,fSa,cSi,mSi,fSi,slope,plotwidth,plotlength,BBCH,crop,treat,cover,moist,runtype,project,No,plot,bulk.run,CLAY,SILT,SAND,KA5class,KA5main,D,SigP,crop_original,lat,lon
0.938,0.47,5160,0.3649,0.022,1160,2.7,14,10,9,19,17,19,10,2,22,99,maize,NoInv,10,27,1,BEMP,21,18,1150,12,55,33,Uls,U,0.0591254170289357,9.47011516411638,maize,,
0.686074115352841,0.106666666666667,4020,0.07719,0.0104017589898227,1580,1.302,15,18,11,14,15,12,9,1,3,12,"cereals (winter wheat, summer wheat, winter barley, summer barley, winter rye, oat)",Inv,7,33.94,1,E3D Sachsen,210,75,1579,15,41,44,Slu,S,0.080326264958324,12.2075374991857,summer wheat,,
0.263208916802852,0.13,4080,0.06342,0.0434383411646344,1490,1.753,27,23,9,15,12,8,12,1,3,12,"cereals (winter wheat, summer wheat, winter barley, summer barley, winter rye, oat)",NoInv,23,22.96,1,E3D Sachsen,211,76,1488,6,35,59,Su3,S,0.186882120108709,8.76480142946803,summer barley,,
0.509082455744139,0.143333333333333,4200,0.0677,0.0301575086356405,1580,2.269,21,16,21,15,12,7,10,1,3,0,"cereals (winter wheat, summer wheat, winter barley, summer barley, winter rye, oat)",NoInv,35,34.62,1,E3D Sachsen,212,77,1581,8,34,58,"Sl3, Su3",S,0.168776035119055,9.73948371403023,oat,,
0.00117016280509634,0.621333333333333,7560,0.00095,0.105582141820443,1580,1.03,21,16,21,15,12,7,10,1,3,9,"cereals (winter wheat, summer wheat, winter barley, summer barley, winter rye, oat)",NoInv,50,16.99,1,E3D Sachsen,213,78,1580,8,34,58,"Sl3, Su3",S,0.168776035119055,9.73948371403023,oat,,
0.832209361455975,0.0733333333333333,3600,0.07903,0.0401020377270939,1510,0.915,27,18,20,14,11,6,16,1,3,10,"cereals (winter wheat, summer wheat, winter barley, summer barley, winter rye, oat)",NoInv,30,15.77,1,E3D Sachsen,214,79,1511,4,31,65,Su3,S,0.248663619218927,7.57789926152342,summer barley,,
1.13927689065329,0.183333333333333,5040,0.0494,0.0128757489659443,1440,1.61,5,4,7,36,23,9,13,1,3,10,sugar beet,NoInv,9,29,1,E3D Sachsen,215,80,1439,16,68,16,Ut3,U,0.027790585395618,7.12204183720893,sugar beet,,
1.08489986436988,0.216666666666667,4200,0.04354,0.0186998115469794,1550,1.68,4,3,6,38,24,8,14,1,3,12,sugar beet,NoInv,9,27.96,1,E3D Sachsen,216,81,1549,17,70,13,"Ut3, Ut4",U,0.0240921437655358,6.58750974923956,sugar beet,,
2.50299763817438,0.146666666666667,4560,0.05778,0.00959233391591781,1420,1.42,2,1,4,40,24,12,14,1,3,12,sugar beet,Inv,7,29.59,1,E3D Sachsen,217,82,1425,17,76,7,"Ut3, Ut4",U,0.0193254855821467,5.11128007864463,sugar beet,,
0.426180488591893,0.196666666666667,3780,0.04769,0.0188383819330563,1370,1.42,5,4,7,36,23,9,13,1,3,12,"cereals (winter wheat, summer wheat, winter barley, summer barley, winter rye, oat)",NoInv,8,27.58,1,E3D Sachsen,218,83,1370,16,68,16,Ut3,U,0.027790585395618,7.12204183720893,winter barley,,
1.03367082492186,0.213333333333333,3720,0.04129,0.0124185137729031,1460,1.42,4,3,6,38,24,8,12,1,3,12,"cereals (winter wheat, summer wheat, winter barley, summer barley, winter rye, oat)",NoInv,8,30.21,1,E3D Sachsen,219,84,1460,17,70,13,"Ut3, Ut4",U,0.0240921437655358,6.58750974923956,winter barley,,
1.436,0.49,3720,0.6076,0.026,1160,2.7,14,10,9,19,17,19,10,2,22,99,maize,NoInv,10,30,2,BEMP,22,18,1180,12,55,33,Uls,U,0.0591254170289357,9.47011516411638,maize,,
1.57669275715272,0.113333333333333,3660,0.04671,0.0106427411697398,1450,1.33,2,1,4,40,24,12,14,1,3,12,"cereals (winter wheat, summer wheat, winter barley, summer barley, winter rye, oat)",Inv,6,29.61,1,E3D Sachsen,220,85,1450,17,76,7,"Ut3, Ut4",U,0.0193254855821467,5.11128007864463,winter barley,,
1.11855296223874,0.183333333333333,3480,0.04138,0.0145357339988434,1420,1.54,5,4,7,36,23,9,13,1,3,0,"cereals (winter wheat, summer wheat, winter barley, summer barley, winter rye, oat)",NoInv,6,27.64,1,E3D Sachsen,221,86,1420,16,68,16,Ut3,U,0.027790585395618,7.12204183720893,winter wheat,,
2.02521973895522,0.133333333333333,2880,0.04818,0.0141247403701725,1570,1.37,4,3,6,38,24,8,13,1,3,0,"cereals (winter wheat, summer wheat, winter barley, summer barley, winter rye, oat)",NoInv,9,29.64,1,E3D Sachsen,222,87,1570,17,70,13,"Ut3, Ut4",U,0.0240921437655358,6.58750974923956,winter wheat,,
1.34274291992432,0.153333333333333,3540,0.048595,0.0145185909387382,1540,1.47,3,2,5,41,24,10,11,1,3,,maize,NoInv,17,29.69,1,E3D Sachsen,223,88,1540,15,75,10,Ut3,U,0.023030448602072,5.5347116505529,maize,,
1.99958222703002,0.153333333333333,3240,0.04581,0.0108015447945293,1480,1.26,2,2,4,42,23,10,11,1,3,,maize,Inv,11,31.93,1,E3D Sachsen,224,89,1480,17,75,8,"Ut3, Ut4",U,0.0200487786130443,5.35707715343011,maize,,
0.293604133843779,0.377333333333333,8340,0.03402,0.010979227149657,1440,1.25,3,1,2,45,24,6,10,1,3,14,sugar beet,DS-M,14,25.59,1,E3D Sachsen,225,90,1443,19,75,6,Ut4,U,0.0174531347964581,5.12138089476304,sugar beet,,
0.957283378175745,0.290666666666667,8760,0.05681,0.00617237411923318,1440,1.12,0,1,2,50,23,8,9,1,3,14,sugar beet,NoInv,7,27.9,1,E3D Sachsen,226,91,1435,16,81,3,Ut3,U,0.0172365414393694,4.01829091559036,sugar beet,,
1.41609981765515,0.21,6000,0.06204,0.0146221456430966,1420,1.04,0,2,3,42,25,8,10,1,3,14,sugar beet,Inv,11,29.59,1,E3D Sachsen,227,92,1425,20,75,5,Ut4,U,0.0162841916223485,4.98270571000973,sugar beet,,
0.875092343448353,0.283333333333333,6000,0.05423,0.0273965957739963,1540,0.94,3,1,3,44,24,6,12,1,3,0,"cereals (winter wheat, summer wheat, winter barley, summer barley, winter rye, oat)",DS-M,7,29.41,1,E3D Sachsen,228,93,1540,19,74,7,Ut4,U,0.0181063515403239,5.37933323548495,winter wheat,,
1.30365003243763,0.153333333333333,5280,0.06223,0.0223143518130971,1490,1.06,0,1,2,50,23,8,10,1,3,0,"cereals (winter wheat, summer wheat, winter barley, summer barley, winter rye, oat)",NoInv,5,28.44,1,E3D Sachsen,229,94,1490,16,81,3,Ut3,U,0.0172365414393694,4.01829091559036,winter wheat,,
4.925,0.26,5700,0.5875,0.021,1350,1.7,10,7,7,20,23,14,9.8,2,22,0,"cereals (winter wheat, summer wheat, winter barley, summer barley, winter rye, oat)",Inv,0,40,1,BEMP,23,19,1400,19,57,24,Lu,L,0.0338149333717587,9.7544517691014,winter wheat,,
1.44503391216774,0.08,4260,0.05467,0.0191563928486455,1460,0.76,2,2,3,51,23,0,10,1,3,0,"cereals (winter wheat, summer wheat, winter barley, summer barley, winter rye, oat)",NoInv,5,25.81,1,E3D Sachsen,230,95,1460,19,74,7,Ut4,U,0.0181063515403239,5.37933323548495,winter wheat,,
2.80830996493258,0.0133333333333334,3240,0.05528,0.0119593845082119,1590,1.05,0,1,3,43,25,8,12,1,3,0,"cereals (winter wheat, summer wheat, winter barley, summer barley, winter rye, oat)",Inv,1,32.4,1,E3D Sachsen,231,96,1590,20,76,4,Ut4,U,0.0156967123278949,4.72044947060026,winter wheat,,
0.0440973915365168,0.184666666666667,7080,0.05791,0.202595330002489,1500,0.844,1,2,3,46,25,9,9,1,3,10,sugar beet,DS-M,80,33.59,1,E3D Sachsen,232,97,1501,14,80,6,Ut3,U,0.0205410249594767,4.46770899156278,sugar beet,,
0.0675035802193217,0.146666666666667,5820,0.04353,0.0883436738120011,1600,1.065,5,17,12,32,18,8,15,1,3,16,maize,DS-M,50,25.46,1,E3D Sachsen,233,98,1597,8,58,34,"Us, Uls",U,0.069876421531325,8.2678272638032,maize,,
0.181048659805045,0.387333333333333,9000,0.04731,0.0211044397122885,1230,2.46,9,8,11,40,15,8,15,1,3,12,"cereals (winter wheat, summer wheat, winter barley, summer barley, winter rye, oat)",NoInv,16,17.32,1,E3D Sachsen,235,100,1230,9,63,28,Uls,U,0.054254515750334,7.75278091736449,winter wheat,,
0.0694895123237383,0.464666666666667,8100,0.01669,0.0547629750728273,1370,2.85,18,19,16,21,19,1,22,1,3,16,"cereals (winter wheat, summer wheat, winter barley, summer barley, winter rye, oat)",NoInv,40,26.63,1,E3D Sachsen,236,101,1370,6,41,53,Su4,S,0.149907279022977,8.78704851009415,winter barley,,
0.219152296955998,0.363333333333333,8640,0.050805,0.0202497945819852,1540,1.14,0,1,2,49,24,9,9,1,3,,sugar beet,NoInv,30,32.26,1,E3D Sachsen,238,103,1540,15,82,3,Ut3,U,0.0178073732298278,3.90257556325549,sugar beet,,
0.721522873845916,0.22,5820,0.05921,0.00614442884487449,1430,1.21,0,1,2,49,22,8,9,1,3,12,sugar beet,Inv,1,31.96,1,E3D Sachsen,239,104,1430,18,79,3,Ut4,U,0.0161491869021341,4.24323703144693,sugar beet,,
11.461,0.12,3060,0.9784,0.024,1350,1.7,10,7,7,20,23,14,9.8,2,22,0,"cereals (winter wheat, summer wheat, winter barley, summer barley, winter rye, oat)",Inv,0,40,2,BEMP,24,19,1300,19,57,24,Lu,L,0.0338149333717587,9.7544517691014,winter wheat,,
0.322592925204168,0.263333333333333,7680,0.04673,0.0111300051710414,1450,1.33,0,0,3,50,19,8,11,1,3,,"canola, field bean, phacelia",NoInv,10,22.8,1,LfULG Ref 72,241,105,1450,20,77,3,Ut4,U,0.0151304273260053,4.45924341308397,canola,,
0.905516892661313,0.288666666666667,5940,0.04203,0.012013732894082,1490,1.28,0,0,3,50,20,7,11,1,3,,"canola, field bean, phacelia",NoInv,10,18.52,1,LfULG Ref 72,243,106,1490,20,77,3,Ut4,U,0.0151304273260053,4.45924341308397,canola,,
0.457097675318205,0.336666666666667,7620,0.06533,0.00509464165416701,1220,3.78,20,20,16,12,14,9,10,1,3,,potatoes,Inv,18,30.18,1,GeoGnostics,244,107,1220,9,35,56,Sl3,S,0.15179100499723,10.2202745891704,potatoes,,
0.470561010687517,0.293333333333333,4800,0.05742,0.00691232840010596,1220,3.24,23,21,16,12,14,8,8,1,3,,potatoes,Inv,14,31.61,1,GeoGnostics,245,108,1220,6,34,60,Su3,S,0.193876538670635,8.74203276308591,potatoes,,
0.394487349573457,0.09,3480,0.06389,0.0147648972855872,1260,1.6366064886406,2,1,2,51,25,7,5,1,3,14,maize,NoInv,17,27.95,1,Saultitz,246,109,1260,12,83,5,"Ut2, Ut3",U,0.021133142042903,3.9770791047144,maize,,
0.179610227580709,0.196666666666667,3180,0.03592,0.00833436374540518,1370,1.55577949672404,3,2,2,52,23,8,5,1,3,14,maize,NoInv,13,29.74,1,Saultitz,247,110,1370,10,83,7,Ut2,U,0.0242760794067874,4.11597402633941,maize,,
0.320034486823995,0.237333333333333,5040,0.055085,0.0227916337094898,1340,1.7152668187558,2,2,3,51,22,8,5,1,3,14,maize,DS-M,38,27.51,1,Saultitz,248,111,1340,12,81,7,"Ut2, Ut3",U,0.0227446407952708,4.40867088397774,maize,,
9.49,0.19,5100,0.9357,0.011,1220,1.7,15,8,6,15,19,16,9.2,2,22,12,"cereals (winter wheat, summer wheat, winter barley, summer barley, winter rye, oat)",Inv,0,34,1,BEMP,25,20,1260,21,50,29,"Ls2, Lu",L,0.0380712025426442,11.5800773141936,winter wheat,,
NA,1.65566666666667,7380,0.00631,0.361875157328652,1240,1.7,10,6,4,36,26,11,10,1,3,16,"canola, field bean, phacelia",NoInv,70,34,1,Streifenbearbeitung Raps,257,120,1240,7,73,20,Us,U,0.0431593919092434,5.95984752468787,canola,,
NA,0.972,3720,0.00277,0.248996648640594,1240,1.7,10,6,4,36,26,11,14,1,3,16,"canola, field bean, phacelia",NoInv,70,34,1,Streifenbearbeitung Raps,258,121,1240,7,73,20,Us,U,0.0431593919092434,5.95984752468787,canola,,
NA,0.326666666666667,2400,0.03787,0.0417705582232003,1470,1.7,10,6,4,36,26,11,10,1,3,16,"canola, field bean, phacelia",NoInv,25,30.22,1,Raps Mulchsaat,259,122,1470,7,73,20,Us,U,0.0431593919092434,5.95984752468787,canola,,
7.421,0.09,2880,1.0211,0.009,1220,1.7,15,8,6,15,19,16,9.2,2,22,12,"cereals (winter wheat, summer wheat, winter barley, summer barley, winter rye, oat)",Inv,0,35,2,BEMP,26,20,1180,21,50,29,"Ls2, Lu",L,0.0380712025426442,11.5800773141936,winter wheat,,
NA,0.393333333333333,1500,0.02005,0.0418436471108183,1470,1.7,10,6,4,36,26,11,12,1,3,16,"canola, field bean, phacelia",NoInv,25,30.22,2,Raps Mulchsaat,260,122,1470,7,73,20,Us,U,0.0431593919092434,5.95984752468787,canola,,
0.045414235,0.447333333333333,5400,0.01748,0.0403745035694468,1420,1.2,3,2,3,43,26,11,14,1,3,,"canola, field bean, phacelia",NoInv,30,30.29,1,TU BAF,261,123,1400,12,80,8,"Ut2, Ut3",U,0.0235959022089911,4.62357822638272,canola,,
0.01222744,0.542666666666667,4200,0.00518,0.0217548236165275,1420,1.2,4,3,3,44,25,10,14,1,3,,"canola, field bean, phacelia",NoInv,30,29.26,2,TU BAF,262,123,1430,11,79,10,Ut2,U,0.0262362240764079,4.88768306606624,canola,,
0.022306435,0.52,7500,0.024445,0.0950801477953129,1420,1.6,4,4,4,43,24,9,15,1,3,,"canola, field bean, phacelia",DS-M,65,31.59,1,TU BAF,263,124,1420,12,76,12,"Ut2, Ut3",U,0.0273316976815042,5.47625156010885,canola,,
0.05549059,0.681333333333333,5400,0.01939,0.09185281686849,1480,1.6,3,5,5,45,23,9,16,1,3,,"canola, field bean, phacelia",DS-M,65,30.86,1,TU BAF,264,125,1480,10,77,13,Ut2,U,0.0302638085157454,5.31959829087136,canola,,
0.087205022,0.614,6480,0.008059,0.0324066451324724,1310,1.4,5,5,4,43,24,9,16,1,3,,"canola, field bean, phacelia",NoInv,50,26.21,1,TU BAF,265,126,1310,10,76,14,Ut2,U,0.0313964890734894,5.51598544874509,canola,,
0.18757749,0.614666666666667,6060,0.01727,0.00314573767349636,1420,1.4,4,4,4,42,24,10,14,1,3,,"canola, field bean, phacelia",NoInv,45,26.46,1,TU BAF,266,127,1420,12,76,12,"Ut2, Ut3",U,0.0273316976815042,5.47625156010885,canola,,
1.378,0.23,5520,0.6729,0.088,1180,3.5,13,9,6,17,18,12,10,2,22,14,"cereals (winter wheat, summer wheat, winter barley, summer barley, winter rye, oat)",Inv,50,31,1,BEMP,27,21,1220,25,47,28,"Ls2, Lt2",L,0.0322136663240235,12.5218152435963,winter barley,,
0.0915432222532649,0.214666666666667,5400,0.060275,0.11050828764661,1380,2.73576369922485,9,13,8,24,21,11,6,1,3,,"grass, meadow, wild weeds",DS-M,32,20.03,1,ELER HC,272,133,1380,14,56,30,Uls,U,0.049613770624872,9.6069495299037,grass,,
0.0373582143460819,0.16,4200,0.06708,0.0858588761173014,1380,2.73576369922485,9,13,8,24,21,11,6,1,3,,"grass, meadow, wild weeds",DS-M,48,20.03,1,ELER HC,273,134,1380,14,56,30,Uls,U,0.049613770624872,9.6069495299037,grass,,
0.0706751857098282,0.118,3900,0.06373,0.135540656870993,1500,2.25988417121201,11,13,8,22,22,12,6,1,3,,"grass, meadow, wild weeds",DS-M,51,30.4,1,ELER HC,274,135,1500,12,56,32,Uls,U,0.0569923692801754,9.310824964838,grass,,
0.0101670628754957,0.453333333333333,10620,0.020045,0.178154407952739,1420,1.80630045532266,17,12,9,17,20,13,9,1,3,,"grass, meadow, wild weeds",DS-M,80,20.88,1,ELER HC,275,136,1420,12,50,38,"Slu, Uls",S,0.0710496172735222,10.2001595956445,grass,,
0.0221955515507587,0.420666666666667,4320,0.02917,0.150815779288082,1400,3.38738046037772,13,10,9,18,23,15,9,1,3,,"grass, meadow, wild weeds",DS-M,75,37.97,1,ELER HC,276,137,1400,12,56,32,Uls,U,0.0569923692801754,9.310824964838,grass,,
1.842,0.17,4260,0.9855,0.044,1180,3.5,13,9,6,17,18,12,10,2,22,14,"cereals (winter wheat, summer wheat, winter barley, summer barley, winter rye, oat)",Inv,50,32,2,BEMP,28,21,1150,25,47,28,"Ls2, Lt2",L,0.0322136663240235,12.5218152435963,winter barley,,
0.0713915224855692,0.3,3420,0.09785,0.265238613551164,1390,1.67945042227519,5,7,7,38,24,10,12,1,3,,"grass, meadow, wild weeds",DS-M,100,17.7,1,ELER HC,280,141,1390,9,72,19,Ut2,U,0.0389778917338602,6.24698733701776,grass,,
0.0260287914001312,0.868666666666667,13860,0.039075,0.0984807026094255,1200,3.13382612015958,22,15,9,17,16,11,14,1,3,,"grass, meadow, wild weeds",DS-M,96,15.7,1,ELER HC,281,142,1200,10,44,46,Slu,S,0.101746915244199,10.2370713776305,grass,,
0.00468083179262004,0.89,2160,0.01004,0.162676789948313,1200,3.13382612015958,22,15,9,17,16,11,14,1,3,,"grass, meadow, wild weeds",DS-M,96,15.7,2,ELER HC,282,142,1200,10,44,46,Slu,S,0.101746915244199,10.2370713776305,grass,,
0.0261652576778686,0.735333333333333,6420,0.096395,0.270632710392699,1500,2.89860897758082,25,20,14,12,12,9,10,1,3,,"grass, meadow, wild weeds",DS-M,100,19.2,1,ELER HC,283,143,1500,8,33,59,"Sl3, Su3",S,0.175092799035038,9.73136170660696,grass,,
0.0355452422110185,0.880666666666667,7260,0.03785,0.338852674906611,1200,2.89860897758082,25,20,14,12,12,9,14,1,3,,"grass, meadow, wild weeds",DS-M,100,31.3214285714286,1,ELER HC,284,144,1200,8,33,59,"Sl3, Su3",S,0.175092799035038,9.73136170660696,grass,,
40.256,0.33,3660,0.8021,0.0179,1480,1.2,5,35,33,6,9,0,12.5,2,22,13,"cereals (winter wheat, summer wheat, winter barley, summer barley, winter rye, oat)",Inv,5,24.7,1,BEMP,29,22,1370,12,15,73,"Sl3, Sl4",S,0.257083630264669,11.2993079561709,summer barley,,
23.646,0.34,1800,0.443,0.0204,1480,1.2,5,35,33,6,9,0,12.5,2,22,13,"cereals (winter wheat, summer wheat, winter barley, summer barley, winter rye, oat)",Inv,5,29,2,BEMP,30,22,1580,12,15,73,"Sl3, Sl4",S,0.257083630264669,11.2993079561709,summer barley,,
3.691,0.23,4800,0.876,0.0107,1510,1.6,3,20,45,10,6,3,5.5,2,22,2,"cereals (winter wheat, summer wheat, winter barley, summer barley, winter rye, oat)",Inv,65,21,1,BEMP,31,23,1370,13,19,68,Sl4,S,0.207079527125012,12.1944534059624,winter wheat,,
3.845,0.19,3060,0.8852,0.0112,1510,1.6,3,20,45,10,6,3,5.5,2,22,2,"cereals (winter wheat, summer wheat, winter barley, summer barley, winter rye, oat)",Inv,65,28,2,BEMP,32,23,1650,13,19,68,Sl4,S,0.207079527125012,12.1944534059624,winter wheat,,
0.025,0.62,5460,0.0213,0.0297,1560,1,8,18,16,19,19,12,11.2,2,22,1,"cereals (winter wheat, summer wheat, winter barley, summer barley, winter rye, oat)",Inv,0,31,1,BEMP,33,24,1610,8,50,42,"Su4, Slu, Us, Uls",S,0.0937541924644281,9.09606257579451,summer barley,,
3.053,0.5,4260,0.6044,0.0347,1560,1,8,18,16,19,19,12,11.2,2,22,1,"cereals (winter wheat, summer wheat, winter barley, summer barley, winter rye, oat)",Inv,0,40.3,2,BEMP,34,24,1520,8,50,42,"Su4, Slu, Us, Uls",S,0.0937541924644281,9.09606257579451,summer barley,,
1.043,0.32,6060,0.6927,0.0761,1750,1.4,9,31,26,12,8,6,11.3,2,22,1,"cereals (winter wheat, summer wheat, winter barley, summer barley, winter rye, oat)",Inv,10,26.9,1,BEMP,35,25,1750,8,26,66,"Sl3, Su3",S,0.226449216104197,9.51421584334769,summer barley,,
38.01,0.32,4260,0.7658,0.0099,1500,1.4,5,4,4,37,32,12,12.7,2,22,13,"cereals (winter wheat, summer wheat, winter barley, summer barley, winter rye, oat)",Inv,5,38.1,1,BEMP,36,26,1510,6,81,13,Uu,U,0.0344764479122288,4.57522999522076,summer barley,,
28.344,0.24,3060,0.8818,0.0144,1500,1.4,5,4,4,37,32,12,12.7,2,22,13,"cereals (winter wheat, summer wheat, winter barley, summer barley, winter rye, oat)",Inv,5,37.6,2,BEMP,37,26,1480,6,81,13,Uu,U,0.0344764479122288,4.57522999522076,summer barley,,
19.073,0.32,4260,0.8146,0.0066,1430,1.4,5,4,4,37,32,12,8.9,2,22,2,"cereals (winter wheat, summer wheat, winter barley, summer barley, winter rye, oat)",Inv,85,35.8,1,BEMP,38,27,1410,6,81,13,Uu,U,0.0344764479122288,4.57522999522076,winter wheat,,
10.455,0.24,2460,0.6495,0.0087,1430,1.4,5,4,4,37,32,12,8.9,2,22,2,"cereals (winter wheat, summer wheat, winter barley, summer barley, winter rye, oat)",Inv,85,41.2,2,BEMP,39,27,1450,6,81,13,Uu,U,0.0344764479122288,4.57522999522076,winter wheat,,
9.787,0.76,2700,0.1214,0.009,1270,1.5,1,1,4,51,19,6,17.4,2,22,2,"canola, field bean, phacelia",Inv,100,34,2,BEMP,4,7,1270,18,76,6,Ut4,U,0.0180311396253281,4.99463048856686,phacelia,,
281.414,0.04,3660,0.8401,0.0087,1600,1.3,20,15,8,26,14,8,16.5,2,22,0,maize,Inv,0,31.7,1,BEMP,40,28,1570,9,48,43,Slu,S,0.0941452621638846,9.57764181266205,maize,,
107.95,0.01,1860,0.698,0.0116,1600,1.3,20,15,8,26,14,8,16.5,2,22,0,maize,Inv,0,34.9,2,BEMP,41,28,1630,9,48,43,Slu,S,0.0941452621638846,9.57764181266205,maize,,
442.746,0.16,4260,1.1097,0.0062,1460,1.1,3,1,1,49,21,8,8.2,2,22,13,sugar beet,Inv,0,26.6,1,BEMP,42,29,1390,17,78,5,"Ut3, Ut4",U,0.0179562401328623,4.62075501413062,sugar beet,,
199.504,0.18,2460,0.9718,0.0161,1460,1.1,3,1,1,49,21,8,8.2,2,22,13,sugar beet,Inv,0,32.3,2,BEMP,43,29,1530,17,78,5,"Ut3, Ut4",U,0.0179562401328623,4.62075501413062,sugar beet,,
3.62,0.49,6060,0.4124,0.0181,1480,1.1,3,1,1,49,21,8,14.6,2,22,13,sugar beet,NoInv,60,28.6,1,BEMP,44,30,1390,17,78,5,"Ut3, Ut4",U,0.0179562401328623,4.62075501413062,sugar beet,,
5.182,0.43,2460,0.3436,0.0188,1480,1.1,3,1,1,49,21,8,14.6,2,22,13,sugar beet,NoInv,60,37.7,2,BEMP,45,30,1560,17,78,5,"Ut3, Ut4",U,0.0179562401328623,4.62075501413062,sugar beet,,
30.01,0.24,5460,1.164,0.014,1340,1,5,3,3,38,26,6,17.2,2,22,2,"cereals (winter wheat, summer wheat, winter barley, summer barley, winter rye, oat)",Inv,100,25.4,1,BEMP,46,31,1320,19,70,11,Ut4,U,0.0209730198926914,6.41720467212932,winter wheat,,
16.045,0.14,2460,0.7941,0.0179,1340,1,5,3,3,38,26,6,17.2,2,22,2,"cereals (winter wheat, summer wheat, winter barley, summer barley, winter rye, oat)",Inv,100,25.2,2,BEMP,47,31,1360,19,70,11,Ut4,U,0.0209730198926914,6.41720467212932,winter wheat,,
3.062,0.54,4860,0.2095,0.0174,1380,1,5,3,3,38,26,6,17.2,2,22,2,"cereals (winter wheat, summer wheat, winter barley, summer barley, winter rye, oat)",NoInv,100,21.8,1,BEMP,48,32,1310,19,70,11,Ut4,U,0.0209730198926914,6.41720467212932,winter wheat,,
3.969,0.53,3060,0.2747,0.0208,1380,1,5,3,3,38,26,6,17.2,2,22,2,"cereals (winter wheat, summer wheat, winter barley, summer barley, winter rye, oat)",NoInv,100,43.5,2,BEMP,49,32,1450,19,70,11,Ut4,U,0.0209730198926914,6.41720467212932,winter wheat,,
56.837,0.27,3600,0.451,0.019,1560,1.4,1,2,5,48,20,7,8.5,2,22,0,"cereals (winter wheat, summer wheat, winter barley, summer barley, winter rye, oat)",Inv,0,24,1,BEMP,5,8,1640,17,75,8,"Ut3, Ut4",U,0.0200487786130443,5.35707715343011,winter wheat,,
0.969,0.59,6000,0.1304,0.0219,1360,1.1,42,23,10,11,8,4,7.9,2,22,0,fallow,Inv,0,21.9,1,BEMP,50,33,1280,2,23,75,Su2,S,0.383254064262247,5.81410589362227,fallow,,
6.827,0.52,2460,0.2846,0.0256,1360,1.1,42,23,10,11,8,4,7.9,2,22,0,fallow,Inv,0,33.3,2,BEMP,51,33,1430,2,23,75,Su2,S,0.383254064262247,5.81410589362227,fallow,,
