soilloss,endinfil,duration,cumq,rough,bulk,corg,cSa,mSa,fSa,cSi,mSi,fSi,slope,plotwidth,plotlength,BBCH,crop,treat,cover,moist,runtype,project,No,plot,bulk.run,CLAY,SILT,SAND,KA5class,KA5main,D,SigP,crop_original,lat,lon
43.085,0.12,2460,0.9064,0.0353,1400,1.1,2,2,5,37,30,5,17.5,2,22,0,"cereals (winter wheat, summer wheat, winter barley, summer barley, winter rye, oat)",NoInv,0,42.9,2,BEMP,72,44,1320,19,72,9,Ut4,U,0.0194870436710979,5.89728156152892,winter wheat,,
157.822,0.2,3660,0.5415,0.0244,1310,1,6,3,3,38,25,6,17.1,2,22,0,"cereals (winter wheat, summer wheat, winter barley, summer barley, winter rye, oat)",Inv,0,24.5,1,BEMP,73,45,1220,19,69,12,Ut4,U,0.0217579750267179,6.67756460609552,winter wheat,,
123.936,0.13,2460,0.8847,0.0181,1310,1,6,3,3,38,25,6,17.1,2,22,0,"cereals (winter wheat, summer wheat, winter barley, summer barley, winter rye, oat)",Inv,0,36.2,2,BEMP,74,45,1400,19,69,12,Ut4,U,0.0217579750267179,6.67756460609552,winter wheat,,
74.996,0.32,3660,0.2874,0.0078,1440,1,6,3,3,38,25,6,17,2,22,0,"cereals (winter wheat, summer wheat, winter barley, summer barley, winter rye, oat)",Inv,0,29,1,BEMP,75,46,1470,19,69,12,Ut4,U,0.0217579750267179,6.67756460609552,winter wheat,,
107.934,0.22,3060,0.8019,0.0106,1440,1,6,3,3,38,25,6,17,2,22,0,"cereals (winter wheat, summer wheat, winter barley, summer barley, winter rye, oat)",Inv,0,29.9,2,BEMP,76,46,1400,19,69,12,Ut4,U,0.0217579750267179,6.67756460609552,winter wheat,,
0.821,0.49,3600,0.1595,0.0238,1360,1,3,1,3,37,27,7,17.5,2,22,0,sugar beet,NoInv,0,30.7,1,BEMP,77,47,1260,22,71,7,Ut4,U,0.0164203249612723,5.76560970756924,sugar beet,,
4.221,0.3,3060,0.5281,0.0479,1360,1,3,1,3,37,27,7,17.5,2,22,0,sugar beet,NoInv,0,37,2,BEMP,78,47,1450,22,71,7,Ut4,U,0.0164203249612723,5.76560970756924,sugar beet,,
0.277,0.57,2880,0.1385,0.0254,1520,1,3,1,3,37,27,7,16.9,2,22,0,sugar beet,NoInv,0,35,1,BEMP,79,48,1500,22,71,7,Ut4,U,0.0164203249612723,5.76560970756924,sugar beet,,
18.19,0.25,1740,0.4377,0.028,1440,1.4,1,2,5,53,21,7,6.8,2,22,9,"cereals (winter wheat, summer wheat, winter barley, summer barley, winter rye, oat)",Inv,5,36,2,BEMP,8,9,1470,11,81,8,Ut2,U,0.0243773403619303,4.47211216556583,winter barley,,
4.126,0.26,3060,0.6427,0.0298,1520,1,3,1,3,37,27,7,16.9,2,22,0,sugar beet,NoInv,0,36.7,2,BEMP,80,48,1540,22,71,7,Ut4,U,0.0164203249612723,5.76560970756924,sugar beet,,
7.302,0.29,3660,0.4564,0.0203,1360,1,3,1,3,37,27,7,15.6,2,22,0,sugar beet,NoInv,0,31.3,1,BEMP,81,49,1310,22,71,7,Ut4,U,0.0164203249612723,5.76560970756924,sugar beet,,
21.544,0.15,3060,1.0607,0.0214,1360,1,3,1,3,37,27,7,15.6,2,22,0,sugar beet,NoInv,0,32,2,BEMP,82,49,1420,22,71,7,Ut4,U,0.0164203249612723,5.76560970756924,sugar beet,,
146.65,0.1,3660,0.7278,0.0095,1340,1,3,1,3,37,27,7,16.8,2,22,0,sugar beet,Inv,0,19.7,1,BEMP,83,50,1070,22,71,7,Ut4,U,0.0164203249612723,5.76560970756924,sugar beet,,
95.425,0.08,2460,0.9914,0.0135,1340,1,3,1,3,37,27,7,16.8,2,22,0,sugar beet,Inv,0,32.3,2,BEMP,84,50,1610,22,71,7,Ut4,U,0.0164203249612723,5.76560970756924,sugar beet,,
0.693,0.51,3660,0.0884,0.0462,1200,1.5,0,1,3,48,24,8,14.8,2,22,12,sugar beet,NoInv,2,29.7,1,BEMP,85,51,1140,16,80,4,Ut3,U,0.0178816517651556,4.25701329280601,sugar beet,,
6.239,0.42,3060,0.4112,0.0337,1200,1.5,0,1,3,48,24,8,14.8,2,22,12,sugar beet,NoInv,2,37.3,2,BEMP,86,51,1260,16,80,4,Ut3,U,0.0178816517651556,4.25701329280601,sugar beet,,
2.182,0.55,3660,0.124,0.0259,1440,1.5,0,1,3,48,24,8,14.8,2,22,12,sugar beet,NoInv,0,36.3,1,BEMP,87,52,1560,16,80,4,Ut3,U,0.0178816517651556,4.25701329280601,sugar beet,,
6.576,0.45,2460,0.3226,0.0301,1440,1.5,0,1,3,48,24,8,14.8,2,22,12,sugar beet,NoInv,0,38.3,2,BEMP,88,52,1320,16,80,4,Ut3,U,0.0178816517651556,4.25701329280601,sugar beet,,
5.497,0.5,3660,0.0807,0.0062,1440,1.5,0,1,3,48,24,8,15.3,2,22,12,sugar beet,Inv,12,30.3,1,BEMP,89,53,1500,16,80,4,Ut3,U,0.0178816517651556,4.25701329280601,sugar beet,,
3.509,0.44,4200,0.287,0.016,1480,1,4,17,17,27,20,4,6,2,22,13,"cereals (winter wheat, summer wheat, winter barley, summer barley, winter rye, oat)",Inv,5,31,1,BEMP,9,10,1480,11,51,38,Uls,U,0.0734026055677395,9.82485382719618,winter barley,,
22.662,0.36,2460,0.3507,0.0113,1440,1.5,0,1,3,48,24,8,15.3,2,22,12,sugar beet,Inv,12,38,2,BEMP,90,53,1380,16,80,4,Ut3,U,0.0178816517651556,4.25701329280601,sugar beet,13.28037,51.1463
NA,0.54,2400,0,0.0376,1380,1.5,0,1,3,48,24,8,15.3,2,22,12,sugar beet,NoInv,0,30,1,BEMP,91,54,1380,16,80,4,Ut3,U,0.0178816517651556,4.25701329280601,sugar beet,13.28037,51.1463
0.034,0.59,5640,0.0407,0.0376,1380,1.5,0,1,3,48,24,8,15.3,2,22,12,sugar beet,NoInv,0,36.7,2,BEMP,92,54,1390,16,80,4,Ut3,U,0.0178816517651556,4.25701329280601,sugar beet,13.28037,51.1463
0.367,0.53,3660,0.1021,0.0393,1500,0.9,0,1,3,46,23,8,15.8,2,22,12,sugar beet,NoInv,0,35,1,BEMP,93,55,1450,19,77,4,Ut4,U,0.0162165487715318,4.60788241738423,sugar beet,13.28037,51.1463
10.691,0.31,3060,0.6982,0.0201,1500,0.9,0,1,3,46,23,8,15.8,2,22,12,sugar beet,NoInv,0,36,2,BEMP,94,55,1550,19,77,4,Ut4,U,0.0162165487715318,4.60788241738423,sugar beet,13.28037,51.1463
0.039,0.62,3600,0.0123,0.0321,1230,2.2,9,5,9,28,26,13,17.4,2,22,10,"cereals (winter wheat, summer wheat, winter barley, summer barley, winter rye, oat)",NoInv,20,32.7,1,BEMP,95,56,1230,10,67,23,Ut2,U,0.0437017302673421,7.20010469786998,winter barley,12.73341,50.80943
0.584,0.43,3420,0.2274,0.0321,1230,2.2,9,5,9,28,26,13,17.4,2,22,10,"cereals (winter wheat, summer wheat, winter barley, summer barley, winter rye, oat)",NoInv,20,39.3,2,BEMP,96,56,1230,10,67,23,Ut2,U,0.0437017302673421,7.20010469786998,winter barley,12.73341,50.80943
0.016,0.52,3900,0.0065,0.0293,1180,1.8,5,3,6,32,31,14,11.5,2,22,0,"cereals (winter wheat, summer wheat, winter barley, summer barley, winter rye, oat)",Inv,0,35.6,1,BEMP,97,57,1180,9,77,14,Ut2,U,0.0324362634467283,5.32436700649079,winter barley,12.73341,50.80943
1.546,0.49,3960,0.1303,0.0293,1180,1.8,5,3,6,32,31,14,11.5,2,22,0,"cereals (winter wheat, summer wheat, winter barley, summer barley, winter rye, oat)",Inv,0,43.2,2,BEMP,98,57,1180,9,77,14,Ut2,U,0.0324362634467283,5.32436700649079,winter barley,12.73341,50.80943
0.481,0.54,3660,0.1247,0.0089,1320,1.8,21,16,12,13,17,10,8.2,2,22,0,"cereals (winter wheat, summer wheat, winter barley, summer barley, winter rye, oat)",Inv,0,23.7,1,BEMP,99,58,1300,11,40,49,"Sl3, Slu",S,0.1099623552345,10.8941148722728,winter wheat,12.62463,50.73815
0.612,0.39,3560,0.3374,0.023,1360,1.1,9,16,18,23,18,9,13.3,4,22,0,fallow,Inv,0,33,2,EROSION 2D,M1.2,1,1330,7,50,43,"Su4, Us",S,0.100484236292643,8.78229036849657,fallow,,
9.915,0.07,3758,2.3793,0.023,1360,1.1,9,16,18,23,18,9,13.3,4,22,0,fallow,Inv,0,44,2,EROSION 2D,M1.3,1,1440,7,50,43,"Su4, Us",S,0.100484236292643,8.78229036849657,fallow,,
2.477,0.35,3600,1.0122,0.02,1350,1,12,18,19,17,15,13,10.2,4,22,99,potatoes,Inv,10,35,1,EROSION 2D,M2.1,2,1350,6,45,49,Su4,S,0.129417408953554,8.6929890154425,potatoes,,
4.027,0.28,1800,1.135,0.02,1350,1,12,18,19,17,15,13,10.2,4,22,99,potatoes,Inv,10,42,2,EROSION 2D,M2.2,2,1350,6,45,49,Su4,S,0.129417408953554,8.6929890154425,potatoes,,
5.646,0.19,3600,1.8431,0.016,1350,1.4,9,20,14,18,21,12,11.2,4,22,0,fallow,Inv,5,41,1,EROSION 2D,M3.1,3,1330,6,51,43,Us,U,0.103812026656942,8.39232655406475,fallow,,
6.105,0.03,1200,1.2677,0.016,1350,1.4,9,20,14,18,21,12,11.2,4,22,0,fallow,Inv,5,45,2,EROSION 2D,M3.2,3,1375,6,51,43,Us,U,0.103812026656942,8.39232655406475,fallow,,
0.781,0.25,1800,0.2091,0.032,1380,1.4,11,20,20,15,15,12,8.9,2,14,99,maize,Inv,20,40,1,EROSION 2D,M4.1,4,1380,7,42,51,Su4,S,0.1348211345482,9.18923869112169,maize,,
108.436,0.24,3600,1.3364,0.021,1390,1,4,2,3,42,21,8,16,4,22,0,fallow,Inv,0,25,1,EROSION 2D,M5.1,5,1390,20,71,9,Ut4,U,0.0188623684938022,6.04145138159755,fallow,,
96.273,0.23,2520,1.5013,0.021,1390,1,4,2,3,42,21,8,16,4,22,0,fallow,Inv,0,40,2,EROSION 2D,M5.2,5,1390,20,71,9,Ut4,U,0.0188623684938022,6.04145138159755,fallow,,
